Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Transport,Off Road,End use Combustion of Energy Carriers,Quebec,4259,3974,4093,4069,4442,5022,4524,4901,5032,5323,5477,5466,5941,5885,5893,6140,5853,5358,5261,5821,5627,6525,6399,6805,6221,6203,5628,6503,6686,7184,6490,6954,6666,6591
Transport,Marine,End use Combustion of Energy Carriers,Quebec,671,686,701,715,731,744,760,775,791,806,821,841,861,879,899,919,905,892,880,867,852,832,817,802,787,772,780,813,855,836,662,669,779,796
Transport,Rail,End use Combustion of Energy Carriers,Quebec,644,581,587,591,679,656,593,542,570,493,539,567,546,562,572,667,691,604,567,469,484,531,435,423,442,433,416,446,531,545,484,472,508,561
Transport,Air,End use Combustion of Energy Carriers,Quebec,951,844,792,741,754,778,763,734,736,766,749,671,624,640,754,763,754,799,735,642,641,647,767,765,717,718,742,805,903,900,551,664,828,907
Buildings,Residential,End use Combustion of Energy Carriers,Quebec,6845,6214,6588,6600,6540,6135,6517,6204,5331,5576,5802,5183,5386,5931,6454,5657,5128,5638,5027,4814,4071,3758,3467,3400,3406,3327,3459,3124,3192,3239,2809,2778,2872,2538
Buildings,Commercial,End use Combustion of Energy Carriers,Quebec,4402,4311,4632,4741,4776,5097,5027,5026,4710,4738,5607,5426,5881,6591,5722,5410,4756,4707,4355,5281,5022,5029,4195,4381,4608,4821,4887,5158,4849,4947,4303,4578,4695,4159
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Quebec,14060,12884,12789,12457,13166,12757,13347,13414,13087,12763,12953,11756,11958,12147,12135,11043,10994,11627,11487,10417,10254,10317,11131,11406,10826,11095,10243,10608,11191,12057,10935,11129,11125,10889
Energy Sector,Oil and Gas,Production of Energy Carriers,Quebec,4120,3588,3589,3778,4058,3840,4013,3683,3756,3573,3777,3652,3627,3714,4096,3928,4009,4095,3906,3822,2860,2524,2344,2316,2241,2408,2166,2168,2414,2741,2539,2560,2722,2649
Energy Sector,Electricity,Production of Energy Carriers,Quebec,1492,488,917,253,445,337,376,410,1574,1153,568,538,422,1931,1694,616,920,1576,440,645,424,399,483,367,244,205,233,239,242,238,292,251,233,268
Ind Processes,Ind Processes,Non-Energy Emissions,Quebec,14329,15019,13420,14152,13655,13003,12862,12808,12972,12365,12432,13251,13324,12966,12415,12370,12406,11507,10740,10147,10160,11811,10930,11470,11284,9963,9737,10315,10019,10344,10746,11016,10909,11235
